Season,Week,PlayerID,Name,Team,Pos,Opp,Stat,Book,Line,Side,Proj,Odds,OppositeOdds,ImpliedProb,FairProb,Hold,OneSided,OurProb,Edge,ModelEdge,EdgeBasis,DevigMethod,LineSource,FixtureID,CapturedAt
2026,3,16899,Quentin Johnston,LAC,WR,at BUF,receptions,DraftKings,6.5,over,2.74,1340,,0.0694,0.0694,,1,0.1493,0.0799,0.0799,ev,none,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,Hard Rock,249.5,over,259.92,115,-160,0.4651,0.4305,0.0805,0,0.5450,0.0799,0.1146,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,theScore,249.5,over,259.92,115,,0.4651,0.4651,,1,0.5450,0.0799,0.0799,ev,none,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,12483,Josh Allen,BUF,QB,vs LAC,passYds,Hard Rock,274.5,over,256.07,210,-300,0.3226,0.3008,0.0726,0,0.4023,0.0797,0.1016,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,18500,Matthew Golden,GB,WR,vs ATL,receptions,FanDuel,6.5,over,4,408,,0.1969,0.1969,,1,0.2763,0.0795,0.0795,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18478,Tre Harris,LAC,WR,at BUF,recYds,Hard Rock,58.5,under,34.63,-475,300,0.8261,0.7677,0.0761,0,0.9056,0.0795,0.1379,ev,multiplicative,live,2026092763BB8AC8,2026-09-22T17:47:03.773Z
2026,3,12561,Lamar Jackson,BAL,QB,at DAL,passYds,Hard Rock,299.5,over,259.92,350,-600,0.2222,0.2059,0.0794,0,0.3017,0.0795,0.0958,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
2026,3,18500,Matthew Golden,GB,WR,vs ATL,receptions,DraftKings,8.5,over,4,1480,,0.0633,0.0633,,1,0.1426,0.0793,0.0793,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,16741,Chris Brooks,GB,RB,vs ATL,rushYds,DraftKings,9.5,over,28.67,-260,,0.7222,0.7222,,1,0.8014,0.0792,0.0792,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15850,Jahan Dotson,ATL,WR,at GB,receptions,Hard Rock,0.5,under,1.43,450,-900,0.1818,0.1681,0.0818,0,0.2611,0.0792,0.0930,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,14371,Jordan Love,GB,QB,vs ATL,passTD,DraftKings,1.5,under,1.48,106,-136,0.4854,0.4572,0.0617,0,0.5645,0.0791,0.1073,ev,multiplicative,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,18500,Matthew Golden,GB,WR,vs ATL,receptions,BetRivers,5.5,over,4,255,,0.2817,0.2817,,1,0.3608,0.0791,0.0791,ev,none,live,202609250580A50A,2026-09-22T17:47:03.773Z
2026,3,15306,Javonte Williams,DAL,RB,vs BAL,receptions,Hard Rock,2.5,under,2.63,155,-225,0.3922,0.3616,0.0845,0,0.4711,0.0790,0.1095,ev,multiplicative,live,202609270726D5A2,2026-09-22T17:47:03.773Z
