PlayerID,position,year,rush_att,rush_yards,pass_comp,pass_att,pass_yards,Receptions,rec_yards,pass_td,rec_td,rush_td,Targets
11892,TE,2025,0,0,0,0,0,53,658,0,4,0,73
19278,TE,2025,0,0,0,0,0,29,302,0,2,0,42
19352,TE,2025,0,0,0,0,0,13,118,0,0,0,17
14436,TE,2025,0,0,0,0,0,28,286,0,1,0,39
13466,TE,2025,0,0,0,0,0,27,319,0,2,0,42
15924,TE,2025,1,7,0,0,0,17,170,0,1,0,25
19349,TE,2025,0,0,0,0,0,9,90,0,0,0,13
16649,TE,2025,0,0,0,0,0,66,767,0,5,0,92
16259,TE,2025,0,0,0,0,0,2,26,0,0,0,4
17033,TE,2025,0,4,0,0,0,70,812,0,5,0,102
16931,TE,2025,0,0,0,0,0,0,8,0,0,0,1
16033,TE,2025,0,0,0,0,0,58,613,0,4,0,83
18460,TE,2025,0,3,0,0,0,81,970,0,6,0,118
19350,TE,2025,0,0,0,0,0,8,85,0,0,0,12
17014,TE,2025,0,0,0,0,0,0,0,0,0,0,0
10033,TE,2025,0,0,0,0,0,2,20,0,0,0,3
19358,TE,2025,0,0,0,0,0,8,84,0,0,0,12
16666,TE,2025,0,0,0,0,0,35,338,0,2,0,51
15902,TE,2025,0,0,0,0,0,101,1095,0,6,0,140
13822,TE,2025,0,0,0,0,0,4,43,0,0,0,6
15460,TE,2025,0,0,0,0,0,3,33,0,0,0,5
12316,TE,2025,0,0,0,0,0,0,0,0,0,0,0
16663,TE,2025,0,0,0,0,0,20,191,0,1,0,27
18543,TE,2025,0,0,0,0,0,0,0,0,0,0,0
11734,TE,2025,0,0,0,0,0,23,227,0,1,0,34
19353,TE,2025,0,0,0,0,0,1,14,0,0,0,2
16277,TE,2025,0,0,0,0,0,2,24,0,0,0,3
16042,TE,2025,0,0,0,0,0,61,600,0,3,0,85
13786,TE,2025,0,0,0,0,0,15,154,0,1,0,21
16032,TE,2025,0,0,0,0,0,52,507,0,3,0,76
14463,TE,2025,0,0,0,0,0,32,343,0,2,0,44
15265,TE,2025,0,0,0,0,0,66,850,0,5,0,106
19348,TE,2025,0,0,0,0,0,17,167,0,1,0,23
17966,TE,2025,0,0,0,0,0,7,63,0,0,0,10
19357,TE,2025,0,0,0,0,0,13,125,0,0,0,18
19312,TE,2025,0,0,0,0,0,19,193,0,1,0,29
15996,TE,2025,0,0,0,0,0,6,52,0,0,0,8
19608,TE,2025,0,0,0,0,0,0,0,0,0,0,0
19279,TE,2025,1,7,0,0,0,50,479,0,3,0,69
13809,TE,2025,0,0,0,0,0,13,122,0,0,0,18
17748,TE,2025,0,0,0,0,0,31,261,0,1,0,41
11897,TE,2025,0,0,0,0,0,3,27,0,0,0,4
16855,TE,2025,0,0,0,0,0,14,136,0,0,0,19
12514,TE,2025,0,0,0,0,0,55,586,0,3,0,82
19452,TE,2025,0,0,0,0,0,0,0,0,0,0,0
17833,TE,2025,0,0,0,0,0,13,112,0,0,0,16
16321,TE,2025,0,0,0,0,0,2,25,0,0,0,4
11807,TE,2025,7,41,0,0,0,24,230,0,1,0,33
12807,TE,2025,0,0,0,0,0,5,51,0,0,0,7
17908,TE,2025,0,0,0,0,0,10,103,0,0,0,15
15510,TE,2025,0,0,0,0,0,2,24,0,0,0,3
17794,TE,2025,2,8,0,0,0,14,129,0,0,0,19
18539,TE,2025,1,6,0,0,0,30,298,0,2,0,43
